Origo,Cafe,https://i.imgur.com/4Ug4LyA.png,"Carrer de Milà i Fontanals, 9, 08012 Barcelona",https://www.origobakery.com/
Cafetería Kumato 2,Cafe,https://i.imgur.com/S3v2U3Z.png,"C. de Balmes, 311, 08006 Barcelona",https://www.cafeteriakumato.es/
Urban Cafe,Cafe,https://i.imgur.com/cxUci4z.png,"C. de Balmes, 346, 08006 Barcelona","https://www.google.com/maps/place/Urban+Cafe/@41.4036023,2.1429203,17z/data=!3m1!4b1!4m6!3m5!1s0x12a499fb54f9c76f:0xb53a13b69b22f4b3!8m2!3d41.4035617!4d2.1428709!16s%2Fg%2F11f9tpf1lw?authuser=0&hl=en"
Muss & Coco,Cafe,https://i.imgur.com/aRUcrY1.png,"C. de les Santjoanistes, 24, 08006 Barcelona","https://www.google.com/maps/place/Muss+%26+Coco/@41.4025681,2.1468102,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a2a047e450c9:0xbd70c15835d2aee6!8m2!3d41.4025781!4d2.1467957!16s%2Fg%2F11bxb9phzw?authuser=0&hl=en"
Cafe-Bartran,Cafe,https://i.imgur.com/dC5UTNk.png,"Carrer de Bertran, 1, 08023 Barcelona",https://glovoapp.com/es/es/barcelona/cafe-bartran-barcelona/?utm_campaign=maplinks&utm_medium=organic&utm_source=googlemaps
Penèlope Cafè,Cafe,https://i.imgur.com/ufnAQo0.png,"C. de Balmes, 308, 08006 Barcelona",http://instagram.com/penelopecafeteria
Cafeteria Anta,Cafe,https://i.imgur.com/RTG93Xl.png,"Carrer Gran de Gràcia, 260, 08012 Barcelona","https://www.google.com/maps/place/Cafeteria+Anta/@41.4056044,2.1508204,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a2a3efdef485:0xc8d1f79fbaf27933!8m2!3d41.4055886!4d2.1507853!16s%2Fg%2F1v3vdf8j?authuser=0&hl=en"
Caffé Milano Lesseps,Cafe,https://i.imgur.com/EMHw3In.png,"Pl. de Lesseps, 23, 08023 Barcelona",https://caffemilanobcn.com/wp-content/uploads/menus/CaffeMilano-carta-menu2020.pdf
Coffee Hackers,Cafe,https://i.imgur.com/TuJpaq2.png,"Carrer de Saragossa, 60, 08006 Barcelona",http://thecoffeehackers.com/
Usagui cafe 🐇,Cafe,https://i.imgur.com/ZLSz60M.png,"C. de les Santjoanistes, 28, 08006 Barcelona",https://www.facebook.com/UsaguiTeJaponesCafe?ref=bookmarks
Liadísimo,Cafe,https://i.imgur.com/ADKaVBh.png,"Carrer de Guillem Tell, 23-25, 08006 Barcelona",https://es-es.facebook.com/LiadisimoCafeteteria
Café Bar TalCual,Cafe,https://i.imgur.com/NnP4aHT.png,"Carrer d'Escipió, 2, 08023 Barcelona",https://cafe-bar-talcual.negocio.site/?utm_source=gmb&utm_medium=referral
LA CAFETERÍA. cafe bar,Cafe,https://i.imgur.com/qdtYeHV.png,"Ronda del General Mitre, 179, 08023 Barcelona","https://www.google.com/maps/place/LA+CAFETER%C3%8DA.+cafe+bar/@41.4047182,2.1410131,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4980b90df81f3:0xbe8cfc26d940f180!8m2!3d41.4047182!4d2.1410131!16s%2Fg%2F11hc_fj55s?authuser=0&hl=en"
Neira Cafeteria,Cafe,https://i.imgur.com/5RBi9vN.png,"Via Augusta, 127, 08006 Barcelona",http://neiracafeteria.es/
Rita's Coffee,Cafe,https://i.imgur.com/kMZIRVU.png,"C. de Balmes, 250, 08006 Barcelona",http://www.facebook.com/ritascoffe
REX CAFÉ 🦖,Cafe,https://i.imgur.com/34rDqP1.png,"Carrer d'Oliana, 24, 08006 Barcelona",https://www.instagram.com/cafederex/
Kfé o Ké,Cafe,https://i.imgur.com/SUYDTKh.png,"Carrer de les Carolines, 28, 08012 Barcelona","https://www.google.com/maps/place/Kf%C3%A9+o+K%C3%A9/@41.4032342,2.1502566,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a2a228b4be3b:0x651234b5fd052741!8m2!3d41.403237!4d2.1502019!16s%2Fg%2F11cmfttj4m?authuser=0&hl=en"
Store Cafè,Cafe,https://i.imgur.com/GVrqtOD.png,"Travessera de Dalt, 25, 08024 Barcelona",https://storecafe.es/
Bar Cafeteria Siboney,Cafe,https://i.imgur.com/4qaU0Fe.png,"Av. de la República Argentina, 33, 08023 Barcelona",https://cartadigital.barmanagerapp.com/site/index/show/SIBONEY
Bracafe,Cafe,https://i.imgur.com/6s53px5.png,"Av. de la República Argentina, 75, 08023 Barcelona",https://instagram.com/elbracafedelmono
PANNIA,Cafe,https://i.imgur.com/HqZqyGR.png,"Av. de la República Argentina, 104, 08023 Barcelona","https://www.google.com/maps/place/PANNIA/@41.4111413,2.1454466,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a2a7fc527ff7:0x80d91ccb2345c830!8m2!3d41.4111519!4d2.1454208!16s%2Fg%2F11f3qvsrj_?authuser=0&hl=en"
Antico cafe,Cafe,https://i.imgur.com/AEOQ2hh.png,"Carrer Gran de Gràcia, 152, 08012 Barcelona","https://www.google.com/maps/place/Antico+cafe/@41.4020626,2.1531316,17z/data=!4m6!3m5!1s0x12a4a2a29184565f:0x69121d90461daaa0!8m2!3d41.4020626!4d2.1531316!16s%2Fg%2F11ckr5tqbq?authuser=0&hl=en"
Cafeteria Kumato,Cafe,https://i.imgur.com/Gsp0Qdv.png,"C. de Balmes, 430, 08022 Barcelona",https://www.cafeteriakumato.es/
El Cafe De L'eixample,Cafe,https://i.imgur.com/7tNlTbK.png,"Carrer de los Castillejos, 276, 08025 Barcelona","https://www.google.com/maps/place/El+Cafe+De+L'eixample/@41.407489,2.177428,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a2dc5ee3da19:0xd5ac543619cbc86b!8m2!3d41.4074325!4d2.177351!16s%2Fg%2F11cmfhgn53?authuser=0&hl=en"
Sucre Cafè,Cafe,https://i.imgur.com/svgB2xG.png,"Carrer de Luis Antúnez, 1, 08006 Barcelona","https://www.google.com/maps/place/Sucre+Caf%C3%A8/@41.398997,2.1563522,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4a39aa41e8f87:0x4b729bf01d60014c!8m2!3d41.3989854!4d2.1563658!16s%2Fg%2F11g_nv8_m4?authuser=0&hl=en"
Cafeteria Muntaner,Cafe,https://i.imgur.com/oRc5u05.png,"C/ de Muntaner, 514, 08022 Barcelona","https://www.google.com/maps/place/Cafeteria+Muntaner/@41.4042592,2.1364404,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4980da1f0c14d:0xc4e0592c186cebd5!8m2!3d41.4042635!4d2.1364469!16s%2Fg%2F11y5y90bk?authuser=0&hl=en"
On y va Coffee - Sant Gervasi,Cafe,https://i.imgur.com/kl935Eg.png,"Carrer de la Ciutat de Balaguer, 45, 08022 Barcelona",https://onyvacoffee.com/
Cafès Gener,Cafe,https://i.imgur.com/9V2KpY6.png,"Passeig de Sant Gervasi, 59, 08022 Barcelona","https://www.google.com/maps/place/Caf%C3%A8s+Gener/@41.4113832,2.1381592,17z/data=!3m1!4b1!4m6!3m5!1s0x12a4980f98e8d41d:0x6db0fb8e43cd2c6e!8m2!3d41.4113704!4d2.1381333!16s%2Fg%2F1tf20ybh?authuser=0&hl=en"
News & Coffee,Cafe,https://i.imgur.com/kAezWbF.png,"Plaça de la Vila de Gràcia, 14, 08012 Barcelona",https://www.newsandcoffee.eu/
Cafes Caracas,Cafe,https://i.imgur.com/Fxra3dG.png,"Carrer del Cigne, 18, 08012 Barcelona",https://www.cafescaracas.com/
K´umara Cafè,Cafe,https://i.imgur.com/MOvVGsA.png,"Carrer de Vallmajor, 33, 08021 Barcelona",http://www.kumaracafe.com/
Biblioteca Vila de Gràcia,Library,https://i.imgur.com/QJqFNFP.png,"Carrer del Torrent de l'Olla, 104, 08012 Barcelona",http://www.barcelona.cat/bibviladegracia
IED Barcelona - Biblioteca,Library,https://i.imgur.com/d6AFuQt.png,"Carrer de Sant Salvador, 70, 72, 08024 Barcelona",https://iedbarcelona.es/alumnos/mediateca/
St Gervasi- Joan Maragall,Library,https://i.imgur.com/2VB4Xi0.png,"Carrer de Sant Gervasi de Cassoles, 85, 08022 Barcelona",https://ajuntament.barcelona.cat/biblioteques/bibsantgervasi/ca
Biblioteca Jaume Fuster,Library,https://i.imgur.com/9GtQfrk.png,"Pl. de Lesseps, 20, 08023 Barcelona",http://www.barcelona.cat/bibjaumefuster
Biblioteca Vallcarca i els Penitents,Library,https://i.imgur.com/7anjc4H.png,"Pg. de la Vall d'Hebron, 65-69, 08035 Barcelona",http://www.barcelona.cat/bibpenitents
Biblioteca El Carmel - Juan Marsé,Library,https://i.imgur.com/GYVcRMx.png,"Carrer de la Murtra, 135, 145, 08032 Barcelona",http://www.barcelona.cat/bibelcarmel
Biblioteca Josep Laporte,Library,https://i.imgur.com/yF7rlPv.png,"C/ de Sant Antoni Maria Claret, 171, 08041 Barcelona",https://www.uab.cat/web/biblioteca-josep-laporte/biblioteca-josep-laporte-1345770456628.html
La Vanguardia Punt De Lectura,Library,https://i.imgur.com/Dh9Xh1R.png,"Carrer de Reus, 22, 08022 Barcelona","https://www.google.com/maps/place/La+Vanguardia+Punt+De+Lectura/@41.4050492,2.1344357,17z/data=!3m1!4b1!4m6!3m5!1s0x12a498126db489cd:0x8e133b2923c3e7f7!8m2!3d41.4050501!4d2.1344339!16s%2Fg%2F11fz9ymjnx?authuser=0&hl=en"
Biblioteca Fort Pienc,Library,https://i.imgur.com/eM1b6U1.png,"Plaça Fort Pienc, 4, 08013 Barcelona",http://www.barcelona.cat/bibfortpienc
Biblioteca Guinardó - Mercè Rodoreda,Library,https://i.imgur.com/muxi472.png,"C.de les Camèlies, 76, 80, 08024 Barcelona",http://www.barcelona.cat/bibmercerodoreda
Biblioteca Camp de l'Arpa – Caterina Albert,Library,https://i.imgur.com/bOhhj4R.png,"Carrer de la Indústria, 295, 08041 Barcelona",http://www.barcelona.cat/bibcampdelarpa
ARCHITECTURE OPEN LIBRARY,Library,https://i.imgur.com/AQkDWqK.png,"Carrer de les Jonqueres, 10, 08003 Barcelona",http://architectureopenlibrary.com/
